"Raw_df.Date","Raw_df.Station","daily_rainfall"
"13/8/2013","Toa Payoh",12.8
"14/8/2013","Toa Payoh",4.8
"15/8/2013","Toa Payoh",0
"16/8/2013","Toa Payoh",0
"17/8/2013","Toa Payoh",41
"18/8/2013","Toa Payoh",8.2
"19/8/2013","Toa Payoh",0.6
"20/8/2013","Toa Payoh",0.2
"21/8/2013","Toa Payoh",0
"22/8/2013","Toa Payoh",0
"23/8/2013","Toa Payoh",0
"24/8/2013","Toa Payoh",0
"25/8/2013","Toa Payoh",0
"26/8/2013","Toa Payoh",35.8
"27/8/2013","Toa Payoh",0
"28/8/2013","Toa Payoh",5.6
"29/8/2013","Toa Payoh",7.4
"30/8/2013","Toa Payoh",0
"31/8/2013","Toa Payoh",0
"1/9/2013","Toa Payoh",0
"2/9/2013","Toa Payoh",11.2
"3/9/2013","Toa Payoh",18.8
"4/9/2013","Toa Payoh",6.6
"5/9/2013","Toa Payoh",43.2
"6/9/2013","Toa Payoh",24
"7/9/2013","Toa Payoh",24.2
"8/9/2013","Toa Payoh",39.6
"9/9/2013","Toa Payoh",3
"10/9/2013","Toa Payoh",21
"11/9/2013","Toa Payoh",1.6
"12/9/2013","Toa Payoh",0
"13/9/2013","Toa Payoh",0
"14/9/2013","Toa Payoh",0.2
"15/9/2013","Toa Payoh",17.2
"16/9/2013","Toa Payoh",0
"17/9/2013","Toa Payoh",0
"18/9/2013","Toa Payoh",0
"19/9/2013","Toa Payoh",0
"20/9/2013","Toa Payoh",0
"21/9/2013","Toa Payoh",0
"22/9/2013","Toa Payoh",0
"23/9/2013","Toa Payoh",0
"24/9/2013","Toa Payoh",0
"25/9/2013","Toa Payoh",55.2
"26/9/2013","Toa Payoh",10.4
"27/9/2013","Toa Payoh",0
"28/9/2013","Toa Payoh",0
"29/9/2013","Toa Payoh",49.2
"30/9/2013","Toa Payoh",4.4
"1/10/2013","Toa Payoh",0
"2/10/2013","Toa Payoh",6
"3/10/2013","Toa Payoh",0
"4/10/2013","Toa Payoh",0
"5/10/2013","Toa Payoh",6.8
"6/10/2013","Toa Payoh",4.8
"7/10/2013","Toa Payoh",0
"8/10/2013","Toa Payoh",2.4
"9/10/2013","Toa Payoh",40.6
"10/10/2013","Toa Payoh",2.4
"11/10/2013","Toa Payoh",0
"12/10/2013","Toa Payoh",0
"13/10/2013","Toa Payoh",0
"14/10/2013","Toa Payoh",22.6
"15/10/2013","Toa Payoh",111.2
"16/10/2013","Toa Payoh",0
"17/10/2013","Toa Payoh",0
"18/10/2013","Toa Payoh",8.2
"19/10/2013","Toa Payoh",6.4
"20/10/2013","Toa Payoh",51.4
"21/10/2013","Toa Payoh",0
"22/10/2013","Toa Payoh",21.4
"23/10/2013","Toa Payoh",0
"24/10/2013","Toa Payoh",0
"25/10/2013","Toa Payoh",0
"26/10/2013","Toa Payoh",0
"27/10/2013","Toa Payoh",0.2
"28/10/2013","Toa Payoh",24.8
"29/10/2013","Toa Payoh",0.2
"30/10/2013","Toa Payoh",19.6
"31/10/2013","Toa Payoh",2.4
"1/11/2013","Toa Payoh",21.4
"2/11/2013","Toa Payoh",1.6
"3/11/2013","Toa Payoh",0
"4/11/2013","Toa Payoh",4.8
"5/11/2013","Toa Payoh",20.6
"6/11/2013","Toa Payoh",6
"7/11/2013","Toa Payoh",0
"8/11/2013","Toa Payoh",0
"9/11/2013","Toa Payoh",1.8
"10/11/2013","Toa Payoh",5.4
"11/11/2013","Toa Payoh",0
"12/11/2013","Toa Payoh",24.2
"13/11/2013","Toa Payoh",0.4
"14/11/2013","Toa Payoh",20
"15/11/2013","Toa Payoh",5.2
"16/11/2013","Toa Payoh",12.6
"17/11/2013","Toa Payoh",0.6
"18/11/2013","Toa Payoh",0.2
"19/11/2013","Toa Payoh",0
"20/11/2013","Toa Payoh",1.4
"21/11/2013","Toa Payoh",2.8
"22/11/2013","Toa Payoh",2.4
"23/11/2013","Toa Payoh",23.4
"24/11/2013","Toa Payoh",8.2
"25/11/2013","Toa Payoh",14.8
"26/11/2013","Toa Payoh",3.2
"27/11/2013","Toa Payoh",2.4
"28/11/2013","Toa Payoh",29.4
"29/11/2013","Toa Payoh",4
"30/11/2013","Toa Payoh",26.4
"1/12/2013","Toa Payoh",1
"2/12/2013","Toa Payoh",38.2
"3/12/2013","Toa Payoh",51.2
"4/12/2013","Toa Payoh",24.2
"5/12/2013","Toa Payoh",10.8
"6/12/2013","Toa Payoh",42.6
"7/12/2013","Toa Payoh",0
"8/12/2013","Toa Payoh",19.6
"9/12/2013","Toa Payoh",0
"10/12/2013","Toa Payoh",0
"11/12/2013","Toa Payoh",25.4
"12/12/2013","Toa Payoh",2
"13/12/2013","Toa Payoh",0
"14/12/2013","Toa Payoh",29.2
"15/12/2013","Toa Payoh",25.6
"16/12/2013","Toa Payoh",0
"17/12/2013","Toa Payoh",0
"18/12/2013","Toa Payoh",118.6
"19/12/2013","Toa Payoh",1.8
"20/12/2013","Toa Payoh",16
"21/12/2013","Toa Payoh",0.2
"22/12/2013","Toa Payoh",0
"23/12/2013","Toa Payoh",0.8
"24/12/2013","Toa Payoh",0
"25/12/2013","Toa Payoh",0.8
"26/12/2013","Toa Payoh",18.8
"27/12/2013","Toa Payoh",2.4
"28/12/2013","Toa Payoh",3.2
"29/12/2013","Toa Payoh",0.2
"30/12/2013","Toa Payoh",0.2
"31/12/2013","Toa Payoh",1
"1/1/2014","Toa Payoh",0
